customer_id,age,gender,income,employment_type,credit_score,loan_amount,loan_term,num_delinquencies,default
C00167,45,Male,45513,Unemployed,685,11874,48,1,1
C00168,59,Male,57815,Salaried,725,9485,24,0,0
C00169,53,Female,38959,Salaried,750,5304,36,2,0
C00170,21,Female,32750,Salaried,702,8807,60,2,0
C00171,47,Male,48154,Salaried,693,7670,36,3,1
C00172,33,Female,55026,Self-employed,583,2270,36,1,0
C00173,61,Male,20001,Unemployed,693,18117,48,3,0
C00174,23,Male,70310,Unemployed,703,17080,48,0,1
C00175,59,Female,31263,Salaried,695,13568,12,1,0
C00176,26,Female,43658,Salaried,634,16245,24,0,0
C00177,28,Female,67719,Salaried,645,7508,48,2,0
C00178,47,Male,51880,Salaried,716,9955,36,1,0
C00179,29,Female,66441,Salaried,660,7323,36,0,0
C00180,57,Female,73305,Self-employed,688,11258,48,2,0
C00181,53,Male,28104,Salaried,574,14771,48,2,0
C00182,62,Male,63530,Salaried,679,9624,48,0,0
C00183,64,Female,69882,Salaried,720,3557,12,2,0
C00184,44,Male,44362,Salaried,695,12073,48,2,0
C00185,35,Male,45556,Self-employed,673,6975,24,0,1
C00186,52,Male,21304,Self-employed,627,14667,12,2,0
C00187,52,Female,61716,Salaried,590,19373,36,4,1
C00188,44,Female,11976,Self-employed,640,15331,60,3,0
C00189,61,Male,64532,Salaried,732,8921,48,0,0
C00190,32,Male,28734,Self-employed,677,10572,60,1,0
C00191,59,Male,70860,Salaried,714,9522,24,1,0
C00192,22,Female,55944,Self-employed,751,5509,36,0,0
C00193,23,Male,65134,Salaried,686,7348,12,0,0
C00194,57,Male,37808,Self-employed,722,9239,48,0,0
C00195,37,Female,29998,Self-employed,736,8885,36,2,0
C00196,22,Male,23545,Salaried,610,3878,60,1,0
C00197,22,Female,66368,Unemployed,641,10225,24,2,0
C00198,48,Female,59944,Salaried,595,9707,48,1,0
C00199,43,Female,60476,Self-employed,589,1000,24,1,0
C00200,57,Male,54371,Salaried,655,9380,24,1,0
C00201,52,Male,58158,Self-employed,667,1000,24,0,0
C00202,53,Female,45625,Self-employed,586,4909,36,0,0
C00203,21,Male,55554,Salaried,702,4083,36,0,0
C00204,39,Female,37147,Salaried,655,8840,36,1,0
C00205,22,Male,44859,Salaried,751,6589,36,0,0
C00206,64,Female,95649,Self-employed,689,8314,12,1,0
C00207,46,Female,50583,Unemployed,688,19489,36,0,0
C00208,52,Male,20425,Salaried,669,5164,36,1,0
C00209,26,Male,43871,Salaried,674,15497,60,0,0
C00210,52,Male,34137,Self-employed,698,12993,24,1,0
C00211,24,Male,52388,Salaried,725,11911,12,2,0
C00212,31,Female,36659,Unemployed,613,16160,24,1,0
C00213,37,Female,46822,Salaried,638,7722,36,0,0
C00214,58,Male,38902,Salaried,694,9254,24,1,0
C00215,44,Male,52957,Self-employed,678,5765,24,0,0
C00216,25,Female,40589,Salaried,719,1000,48,1,0
C00217,54,Male,55353,Self-employed,646,10521,36,1,0
C00218,26,Male,79228,Salaried,743,18604,36,0,0
C00219,42,Male,32683,Salaried,654,3082,36,1,0
C00220,31,Male,60857,Self-employed,664,3581,36,0,0
C00221,36,Female,13207,Salaried,734,11498,36,2,0
C00222,53,Female,46508,Salaried,708,8871,36,0,0
C00223,29,Male,53433,Unemployed,779,17508,24,2,0
C00224,26,Female,38779,Unemployed,727,7445,48,4,1
C00225,36,Male,23189,Unemployed,744,17661,48,0,0
C00226,49,Male,49429,Unemployed,665,12224,48,0,0
C00227,23,Male,72981,Salaried,745,15651,36,0,0
C00228,40,Female,47803,Salaried,683,5983,60,4,0
C00229,56,Female,58378,Salaried,569,8888,48,2,0
C00230,39,Female,66903,Self-employed,703,10814,24,1,0
C00231,46,Female,87072,Self-employed,708,11763,24,1,0
C00232,23,Female,34215,Self-employed,625,6355,48,3,1
C00233,39,Male,35763,Unemployed,697,7485,48,1,0
C00234,40,Male,45616,Salaried,685,17702,36,1,1
C00235,52,Female,59231,Salaried,740,14511,36,1,0
C00236,27,Female,15189,Salaried,701,3850,36,0,0
C00237,61,Female,59806,Salaried,680,11320,48,1,0
C00238,53,Male,52223,Salaried,613,16044,24,2,0
C00239,60,Female,41990,Salaried,581,6337,36,0,0
C00240,59,Male,56382,Self-employed,743,12643,48,1,0
C00241,38,Male,63344,Salaried,699,12853,36,3,0
C00242,60,Female,65420,Self-employed,667,1552,12,1,0
C00243,21,Male,50221,Salaried,707,6120,48,4,0
C00244,31,Male,54890,Unemployed,668,7363,12,1,0
C00245,48,Female,54324,Self-employed,579,10000,48,0,0
C00246,45,Male,68467,Unemployed,730,7251,36,1,1
C00247,43,Female,55718,Salaried,737,11963,48,0,0
C00248,51,Male,59678,Salaried,663,8398,36,0,1
C00249,50,Female,63389,Salaried,677,2202,36,1,0
C00250,62,Female,79378,Salaried,649,1000,48,2,1
C00251,55,Male,41212,Salaried,772,7308,48,0,0
C00252,27,Female,74385,Salaried,740,10772,12,0,0
C00253,36,Male,87066,Salaried,639,9976,60,0,1
C00254,46,Male,42169,Unemployed,710,4579,36,0,0
C00255,22,Female,46748,Salaried,636,14165,24,1,0
C00256,21,Male,43573,Unemployed,639,8007,48,1,0
C00257,32,Female,59853,Salaried,657,14256,36,1,0
C00258,25,Male,22074,Salaried,649,14450,36,0,0
C00259,57,Male,42507,Salaried,602,14100,36,1,0
C00260,52,Female,45895,Self-employed,746,13198,24,2,1
C00261,29,Male,44583,Self-employed,690,4053,60,0,0
C00262,61,Male,44432,Self-employed,757,8986,24,1,0
C00263,55,Male,42661,Salaried,671,17456,36,0,0
C00264,39,Male,61660,Salaried,606,8763,24,1,0
C00265,36,Male,58073,Salaried,731,2298,48,3,0
C00266,23,Male,75551,Salaried,693,13579,24,0,0
C00267,40,Male,61699,Unemployed,666,12686,36,0,0
C00268,44,Male,33536,Unemployed,740,9448,12,2,0
C00269,53,Female,47449,Salaried,612,8568,36,0,0
C00270,44,Male,45856,Self-employed,729,11156,12,0,0
C00271,31,Male,53828,Salaried,715,13760,36,0,0
C00272,28,Female,66398,Salaried,691,10396,36,2,0
C00273,56,Female,52787,Salaried,606,12904,24,0,0
C00274,58,Female,52827,Salaried,726,18332,36,0,0
C00275,60,Male,50150,Self-employed,717,8645,36,0,0
C00276,40,Female,62158,Salaried,693,23446,36,2,0
C00277,55,Female,41466,Unemployed,677,19077,36,0,1
C00278,45,Male,28144,Salaried,623,7634,60,1,0
C00279,55,Male,59668,Salaried,623,20201,60,0,0
C00280,45,Female,55627,Salaried,641,7329,60,1,0
C00281,49,Female,69851,Self-employed,601,22188,12,1,0
C00282,38,Male,13581,Self-employed,602,8715,24,0,0
C00283,38,Male,48494,Self-employed,657,12572,60,0,0
C00284,22,Male,51600,Salaried,613,12475,12,0,0
C00285,55,Male,27336,Salaried,668,8088,36,0,0
C00286,36,Male,48701,Salaried,683,12246,36,1,0
C00287,61,Female,67803,Salaried,607,15802,60,1,0
C00288,56,Male,81291,Self-employed,721,10427,24,1,0
C00289,53,Male,64736,Salaried,730,11309,48,1,0
C00290,24,Male,45132,Salaried,570,14056,36,1,0
C00291,53,Male,68922,Salaried,747,4447,36,0,0
C00292,34,Male,63671,Salaried,707,10421,48,1,0
C00293,41,Female,42734,Self-employed,684,16291,24,1,0
C00294,40,Male,41273,Self-employed,753,8609,36,1,0
C00295,28,Female,47472,Self-employed,685,12997,36,1,0
C00296,27,Male,34237,Self-employed,640,1715,36,0,0
C00297,23,Female,45338,Salaried,605,10520,48,0,0
C00298,37,Female,57301,Self-employed,674,9298,48,2,0
C00299,53,Male,65577,Salaried,673,10251,36,0,0
C00300,32,Male,44317,Self-employed,594,9164,36,0,0
C00301,42,Male,70826,Self-employed,662,16183,60,2,0
C00302,42,Male,59751,Self-employed,756,5461,48,0,0
C00303,50,Male,60434,Salaried,705,8248,36,0,0
C00304,58,Female,36214,Unemployed,612,6086,12,1,0
C00305,58,Male,77116,Self-employed,695,3394,36,0,0
C00306,28,Male,58300,Self-employed,715,9656,24,2,0
C00307,47,Female,45009,Salaried,731,5293,36,0,0
C00308,47,Male,42363,Salaried,709,11228,24,3,0
C00309,54,Female,45343,Salaried,738,11359,48,0,0
C00310,41,Male,34724,Salaried,717,10790,48,0,0
C00311,50,Female,64824,Salaried,667,12888,36,0,1
C00312,53,Male,36261,Self-employed,696,1000,60,2,0
C00313,48,Female,54347,Salaried,668,17476,36,2,1
C00314,53,Female,43251,Self-employed,700,9699,24,0,0
C00315,25,Male,60061,Salaried,716,13431,48,0,0
C00316,39,Male,62100,Salaried,676,5004,48,0,0
C00317,24,Male,40341,Unemployed,695,3625,36,0,0
C00318,55,Female,49491,Self-employed,655,12545,36,0,0
C00319,37,Female,28349,Salaried,664,13622,12,0,0
C00320,64,Female,75508,Salaried,676,3858,24,0,0
C00321,48,Male,66020,Salaried,651,12986,48,0,0
C00322,50,Male,29066,Salaried,746,13503,24,0,1
C00323,49,Female,36996,Salaried,709,13144,60,1,0
C00324,26,Male,47977,Salaried,717,10764,36,2,0
C00325,55,Female,50581,Self-employed,707,11551,60,1,0
C00326,61,Male,39709,Salaried,688,18554,24,0,0
C00327,57,Male,32826,Salaried,619,7096,36,1,0
C00328,44,Female,55925,Self-employed,736,14381,24,0,0
C00329,49,Male,76092,Unemployed,784,12105,48,1,0
C00330,51,Male,50819,Unemployed,713,3140,36,2,0
C00331,55,Male,45624,Self-employed,640,2877,36,4,0
C00332,53,Male,44047,Salaried,709,10840,48,0,0
C00333,41,Male,33549,Salaried,640,2002,24,1,0
C00334,52,Female,39920,Self-employed,656,1000,12,1,0
C00335,43,Male,67041,Self-employed,559,26509,36,0,1
C00336,53,Female,18937,Self-employed,748,5168,36,0,0
C00337,23,Male,51051,Salaried,695,14595,48,0,0
C00338,38,Male,50419,Salaried,708,11170,36,0,0
C00339,45,Female,51775,Self-employed,719,21633,12,2,0
C00340,62,Female,60911,Salaried,703,19459,36,1,0
C00341,51,Male,50917,Self-employed,728,12807,24,0,0
C00342,23,Male,43190,Unemployed,748,2906,12,2,0
C00343,60,Female,40150,Self-employed,678,17668,36,1,0
C00344,44,Female,69475,Salaried,596,3790,48,1,0
C00345,52,Female,65615,Salaried,637,15358,48,3,0
C00346,42,Female,93164,Salaried,710,5050,36,0,0
C00347,43,Male,45785,Self-employed,628,7505,48,0,0
C00348,22,Male,40426,Salaried,676,21625,36,1,0
C00349,47,Male,56797,Salaried,805,11229,24,0,0
C00350,62,Male,56435,Salaried,732,6094,36,1,0
C00351,22,Male,59545,Salaried,579,8908,60,1,0
C00352,46,Female,62706,Unemployed,796,11192,12,1,0
C00353,37,Female,59400,Self-employed,748,5734,60,2,0
C00354,60,Female,66125,Salaried,713,13261,48,0,0
C00355,53,Male,68120,Unemployed,686,5925,36,3,0
C00356,29,Female,68387,Self-employed,611,1000,36,0,0
C00357,63,Male,16079,Self-employed,661,8909,24,0,0
C00358,59,Male,53485,Self-employed,580,6968,48,0,0
C00359,49,Male,36151,Self-employed,727,10727,60,0,0
C00360,62,Female,65831,Salaried,689,9000,60,0,0
C00361,46,Male,15765,Salaried,642,14328,24,1,0
C00362,55,Male,72038,Self-employed,730,13583,48,1,0
C00363,45,Female,37029,Salaried,696,1000,36,0,0
C00364,44,Male,33592,Salaried,761,9758,48,0,0
C00365,33,Female,55343,Salaried,657,7777,36,1,0
C00366,27,Male,44400,Salaried,749,8470,60,1,0
C00367,56,Female,76690,Salaried,691,1038,36,0,1
C00368,40,Male,70445,Self-employed,641,1000,48,0,0
C00369,21,Male,42337,Salaried,709,17481,36,0,0
C00370,28,Female,65637,Salaried,683,8816,36,0,0
C00371,36,Male,41820,Unemployed,702,11461,24,0,0
C00372,34,Female,41691,Self-employed,630,6560,36,0,0
C00373,32,Male,60712,Salaried,564,2818,36,0,0
C00374,43,Female,71837,Salaried,655,7271,48,0,0
C00375,35,Male,43383,Self-employed,708,4935,24,1,0
C00376,48,Male,44526,Self-employed,707,13042,48,0,0
C00377,54,Male,54518,Salaried,657,11676,60,0,0
C00378,22,Female,36590,Unemployed,691,13305,48,3,1
C00379,52,Female,73481,Self-employed,660,11933,36,0,0
C00380,43,Female,36446,Self-employed,673,1000,48,1,0
C00381,42,Female,40502,Salaried,743,8174,36,1,0
C00382,45,Female,76508,Salaried,613,5895,48,0,0
C00383,42,Male,53218,Salaried,774,10837,36,1,1
C00384,42,Male,79153,Salaried,688,6720,24,1,0
C00385,62,Male,46710,Salaried,780,11545,36,0,0
C00386,26,Male,87792,Salaried,773,11784,24,2,1
C00387,35,Male,59234,Self-employed,566,8721,36,0,0
C00388,63,Female,38713,Salaried,689,11398,36,1,0
C00389,57,Male,38482,Salaried,630,11881,36,0,0
C00390,53,Female,28141,Unemployed,673,10618,36,2,0
C00391,28,Male,29782,Salaried,702,11780,60,2,0
C00392,64,Female,40107,Salaried,752,13308,36,1,0
C00393,64,Female,35126,Self-employed,625,8171,36,0,0
C00394,25,Female,11331,Unemployed,806,6287,24,0,0
C00395,59,Male,62622,Self-employed,650,11737,24,0,0
C00396,24,Male,61630,Salaried,612,7108,24,3,0
C00397,26,Male,54625,Unemployed,734,9952,24,0,0
C00398,52,Male,32975,Salaried,686,9328,36,0,0
C00399,50,Female,74701,Self-employed,790,18432,24,3,0
C00400,55,Female,47327,Salaried,630,13792,36,2,0
C00401,60,Female,37501,Self-employed,689,16167,24,1,0
C00402,36,Female,53488,Salaried,743,12056,36,2,1
C00403,33,Male,52628,Self-employed,637,11435,24,0,0
C00404,62,Female,12458,Self-employed,744,12078,24,0,0
C00405,50,Male,49535,Salaried,699,7712,36,1,0
C00406,39,Female,51808,Salaried,629,4293,36,0,0
C00407,37,Female,44318,Self-employed,743,12904,24,1,0
C00408,39,Female,30178,Salaried,670,12555,24,0,0
C00409,48,Male,30620,Salaried,739,17136,24,0,0
C00410,46,Male,57710,Self-employed,644,14292,48,1,0
C00411,57,Female,61424,Unemployed,607,7820,36,1,0
C00412,46,Female,43279,Salaried,657,4427,36,0,0
C00413,43,Female,55734,Salaried,673,11743,36,0,0
C00414,29,Male,43131,Salaried,689,10124,36,0,0
C00415,32,Male,37201,Salaried,706,7195,36,0,0
C00416,21,Male,53217,Salaried,777,12730,48,4,0
C00417,21,Female,32763,Self-employed,674,4061,48,1,0
C00418,54,Male,78406,Self-employed,769,6903,36,0,0
C00419,52,Female,28437,Salaried,731,24260,36,0,0
C00420,45,Male,54257,Self-employed,675,5077,24,0,0
C00421,60,Female,52253,Salaried,695,12209,36,3,0
C00422,21,Female,50922,Salaried,699,15025,24,1,0
C00423,36,Male,72250,Salaried,731,14234,48,1,0
C00424,59,Female,9706,Salaried,738,13384,36,0,0
C00425,25,Female,56175,Salaried,609,12258,36,3,0
C00426,42,Female,45899,Self-employed,728,9919,36,0,0
C00427,49,Male,58759,Self-employed,700,17183,36,1,0
C00428,23,Female,50820,Self-employed,699,16907,24,0,0
C00429,32,Male,48874,Salaried,673,15017,48,1,0
C00430,46,Male,31890,Salaried,715,18001,48,1,0
C00431,36,Female,39902,Self-employed,724,14763,60,2,0
C00432,57,Male,96972,Salaried,685,8335,48,0,0
C00433,42,Female,58896,Self-employed,731,6545,48,2,0
C00434,49,Male,65788,Self-employed,648,11850,12,0,0
C00435,34,Female,44721,Self-employed,680,11454,48,1,0
C00436,48,Male,37165,Salaried,698,12313,36,0,0
C00437,25,Female,61646,Unemployed,664,17663,24,0,1
C00438,50,Female,21444,Self-employed,663,8112,36,1,0
C00439,25,Female,40238,Salaried,633,9239,36,0,0
C00440,32,Female,44681,Self-employed,701,11496,36,1,0
C00441,36,Male,64174,Salaried,777,9258,36,2,0
C00442,46,Male,56205,Salaried,710,1000,48,1,0
C00443,46,Female,42906,Self-employed,671,7695,24,2,0
C00444,41,Male,55534,Salaried,745,5079,36,0,0
C00445,59,Female,45452,Salaried,678,16840,12,0,0
C00446,56,Female,66050,Salaried,717,5863,36,0,0
C00447,53,Male,53542,Salaried,708,9788,24,1,0
C00448,50,Male,76046,Salaried,605,10258,36,1,0
C00449,57,Female,45833,Unemployed,685,12493,24,1,0
C00450,43,Male,68380,Salaried,787,11300,48,0,0
C00451,30,Female,51356,Self-employed,652,11568,48,0,0
C00452,25,Male,39541,Self-employed,759,5602,24,1,0
C00453,56,Male,89023,Salaried,730,8628,48,0,0
C00454,54,Male,69645,Salaried,657,3065,24,1,0
C00455,51,Male,53514,Salaried,685,11894,36,0,0
C00456,30,Male,61489,Unemployed,632,6149,36,0,0
C00457,39,Female,33769,Salaried,727,16742,36,0,0
C00458,52,Male,34297,Self-employed,632,1000,12,1,0
C00459,21,Male,66711,Unemployed,705,19622,36,1,0
C00460,25,Female,50071,Self-employed,776,11167,36,2,0
C00461,24,Female,47662,Self-employed,652,8467,36,0,0
C00462,36,Female,45680,Unemployed,702,12752,36,1,0
C00463,44,Male,52281,Salaried,610,17309,48,0,0
C00464,36,Male,46186,Self-employed,687,19430,36,1,0
C00465,22,Female,19517,Salaried,634,9977,36,1,0
C00466,48,Female,71238,Salaried,697,1000,24,0,0
C00467,52,Female,48341,Salaried,658,9578,36,2,0
C00468,47,Female,77472,Salaried,635,7352,36,0,0
C00469,40,Male,23567,Salaried,678,13278,60,2,0
C00470,44,Male,23508,Salaried,552,7933,36,0,0
C00471,32,Male,45868,Salaried,632,4342,36,2,0
C00472,55,Male,64662,Salaried,803,7385,36,1,0
C00473,53,Male,31704,Self-employed,673,16827,48,1,0
C00474,53,Female,31122,Salaried,661,10651,36,1,0
C00475,63,Male,55579,Salaried,703,14914,24,0,0
C00476,57,Female,45306,Self-employed,737,7932,12,1,0
C00477,32,Female,58161,Salaried,767,15885,48,0,0
C00478,23,Female,45575,Unemployed,682,5656,36,1,1
C00479,21,Male,55777,Self-employed,675,6214,24,1,0
C00480,53,Female,70491,Salaried,705,16833,48,2,0
C00481,60,Male,31736,Unemployed,688,16607,48,1,1
C00482,30,Female,67771,Self-employed,677,1000,48,1,0
C00483,63,Male,24437,Salaried,716,14974,48,1,0
C00484,64,Female,59140,Self-employed,715,3304,24,0,0
C00485,49,Male,71289,Self-employed,688,15320,60,3,0
C00486,33,Female,42138,Self-employed,806,15186,60,2,0
C00487,32,Female,59668,Self-employed,781,17883,12,0,0
C00488,51,Female,42693,Salaried,713,18519,12,1,0
C00489,22,Female,58780,Unemployed,743,11178,36,1,0
